iter	Logloss
0	0.6873295181
1	0.6808098258
2	0.6739533945
3	0.6671958038
4	0.6608344326
5	0.6541232717
6	0.6478577604
7	0.6421983537
8	0.6357947659
9	0.6304623644
10	0.6243733614
11	0.6184019889
12	0.6131126938
13	0.6077731475
14	0.602795209
15	0.5974198882
16	0.5926772248
17	0.5881578437
18	0.583881919
19	0.5795662842
20	0.5742283603
21	0.5694558496
22	0.5647585102
23	0.5600786043
24	0.5555362654
25	0.552087649
26	0.5479760993
27	0.5436887319
28	0.5402096924
29	0.5361819183
30	0.5323230127
31	0.5286953905
32	0.5254849856
33	0.5224672144
34	0.5201019461
35	0.5174069865
36	0.5152927217
37	0.5126381554
38	0.5100580534
39	0.5078208624
40	0.5046687092
41	0.5017443908
42	0.4986156684
43	0.4957795007
44	0.4926034068
45	0.4897397053
46	0.4870879745
47	0.4846314442
48	0.4822212041
49	0.4806253475
50	0.4781458937
51	0.4757797679
52	0.4726673179
53	0.4706739521
54	0.4688081327
55	0.4661775876
56	0.46380957
57	0.4612846106
58	0.4592187399
59	0.4568464727
60	0.4553517119
61	0.4530429333
62	0.4513041786
63	0.4495686596
64	0.4477011888
65	0.4458798338
66	0.4439790231
67	0.4420075209
68	0.4409523158
69	0.4393706325
70	0.4376304138
71	0.4358346624
72	0.4345210884
73	0.4328244884
74	0.43121467
75	0.4299737424
76	0.4281941905
77	0.4269305779
78	0.4256613259
79	0.4241938572
80	0.4225137067
81	0.4212535544
82	0.4198422717
83	0.4183645027
84	0.4171145319
85	0.4157840162
86	0.4149121296
87	0.4140379725
88	0.4126915632
89	0.4113589548
90	0.4098097658
91	0.4085003151
92	0.4072795506
93	0.4061471543
94	0.4052017043
95	0.404448435
96	0.403624875
97	0.4025940697
98	0.4016071892
99	0.4005283165
100	0.3997119569
101	0.3987464282
102	0.3974918387
103	0.3965298774
104	0.3956325185
105	0.3947281653
106	0.3939069831
107	0.3930183882
108	0.3920210803
109	0.3910320322
110	0.3902476295
111	0.3895148774
112	0.3887314968
113	0.3878742457
114	0.3867126313
115	0.3859153188
116	0.3850488604
117	0.3842677196
118	0.3832391871
119	0.3826794933
120	0.3816958456
121	0.3809650376
122	0.3801978244
123	0.3793514725
124	0.3785006735
125	0.3777871786
126	0.3770290007
127	0.37633719
128	0.375879957
129	0.3752025122
130	0.374366517
131	0.3734847625
132	0.3727291685
133	0.3720274672
134	0.3714501803
135	0.3709243025
136	0.3702679041
137	0.3698681267
138	0.369235598
139	0.3689056194
140	0.3682132704
141	0.3676246919
142	0.3668907381
143	0.3663063638
144	0.3656380043
145	0.3650449213
146	0.3645698084
147	0.363983973
148	0.3631483946
149	0.3626255907
150	0.362011958
151	0.3614583412
152	0.36093878
153	0.3605373896
154	0.3599239669
155	0.3597498806
156	0.3591205135
157	0.3586160132
158	0.3582135064
159	0.3577353815
160	0.3572277234
161	0.356781436
162	0.3564367698
163	0.3560344528
164	0.3554951796
165	0.3551779708
166	0.3546802355
167	0.3541869085
168	0.3537924231
169	0.3532658687
170	0.3526639448
171	0.352427822
172	0.3520482411
173	0.3516496101
174	0.3512361195
175	0.350851253
176	0.3502798078
177	0.3499479774
178	0.3496216998
179	0.3490287319
180	0.348491779
181	0.3481787053
182	0.3479003664
183	0.3474690531
184	0.3470946224
185	0.3466226594
186	0.3461754813
187	0.3457601621
188	0.3456875265
189	0.3451668321
190	0.3447494857
191	0.3443853319
192	0.3439610453
193	0.3434994935
194	0.3432902562
195	0.3429582085
196	0.3426563853
197	0.3423578582
198	0.3421233146
199	0.3418683741
200	0.3412642534
201	0.3408952583
202	0.3404791529
203	0.340119229
204	0.3398022996
205	0.3393120297
206	0.3390532153
207	0.3387586691
208	0.3384633369
209	0.3381785544
210	0.337987716
211	0.3378424678
212	0.3374417166
213	0.337280076
