iter	Passed	Remaining
0	0	865
1	1	736
2	2	699
3	2	667
4	3	660
5	3	646
6	4	665
7	5	688
8	6	678
9	6	674
10	7	667
11	8	670
12	8	669
13	9	667
14	10	666
15	10	664
16	11	662
17	12	661
18	12	662
19	13	665
20	14	664
21	14	663
22	15	661
23	16	660
24	16	661
25	17	660
26	18	663
27	19	666
28	19	667
29	20	669
30	21	672
31	22	672
32	23	675
33	24	695
34	25	692
35	25	690
36	26	685
37	27	684
38	27	680
39	28	679
40	28	677
41	29	675
42	30	675
43	31	675
44	31	673
45	32	672
46	33	671
47	33	670
48	34	667
49	35	667
50	35	667
51	36	665
52	37	665
53	38	666
54	38	665
55	39	665
56	40	671
57	41	670
58	42	681
59	43	680
60	43	677
61	44	676
62	45	674
63	46	674
64	46	672
65	47	671
66	48	669
67	49	677
68	49	673
69	50	673
70	52	680
71	52	679
72	53	677
73	53	674
74	54	673
75	55	673
76	56	672
77	56	671
78	57	670
79	58	671
80	59	671
81	59	669
82	60	667
83	61	674
84	62	673
85	63	672
86	63	671
87	64	670
88	65	669
89	66	667
90	66	666
91	67	666
92	68	666
93	68	664
94	69	663
95	70	662
96	71	662
97	71	661
98	72	662
99	74	667
100	74	667
101	75	666
102	76	665
103	77	664
104	77	664
105	78	663
106	79	662
107	80	662
108	80	661
109	81	660
110	82	659
111	83	658
112	83	657
113	84	655
114	85	654
115	85	653
116	86	652
117	87	651
118	87	650
119	88	649
120	89	647
121	89	646
122	90	645
123	91	645
124	91	643
125	92	642
126	93	641
127	94	640
128	94	639
129	95	637
130	95	636
131	96	634
132	97	633
133	97	632
134	98	631
135	99	630
136	99	629
137	100	628
138	101	627
139	102	627
140	102	626
141	103	625
142	104	624
143	104	622
144	105	621
145	105	619
146	106	618
147	107	618
148	108	617
149	108	616
150	109	615
151	110	614
152	110	612
153	111	611
154	111	610
155	112	608
156	113	608
157	113	606
158	114	605
159	115	604
160	115	603
161	116	602
162	117	601
163	117	600
164	118	599
165	119	599
166	119	598
167	120	596
168	121	596
169	122	595
170	122	594
171	123	593
172	123	592
173	124	591
174	125	590
175	125	589
176	126	588
177	127	587
178	127	586
179	128	585
180	129	584
181	129	583
182	130	581
183	131	581
184	131	580
185	132	579
186	133	578
187	133	577
188	134	575
189	134	574
190	135	573
191	136	572
192	136	571
193	137	570
194	137	569
195	138	568
196	139	567
197	139	566
198	140	565
199	141	564
200	141	563
201	142	563
202	143	562
203	143	561
204	144	559
205	145	558
206	145	558
207	146	557
208	146	555
209	147	554
210	148	553
211	148	552
212	149	551
213	150	550
214	150	550
215	151	549
216	151	548
217	152	547
218	153	546
219	153	545
220	154	544
221	155	543
222	155	542
223	156	541
224	157	540
225	157	539
226	158	538
227	158	537
228	159	536
229	160	535
230	160	534
231	161	533
232	161	532
233	162	531
234	163	531
235	163	530
236	164	529
237	165	528
238	165	527
239	166	527
240	167	526
241	167	525
242	168	524
243	169	523
244	169	523
245	170	522
246	170	521
247	171	519
248	172	519
249	172	518
250	173	517
251	173	516
252	174	515
253	175	514
254	175	513
255	176	513
256	177	512
257	177	511
258	178	512
259	180	513
260	181	512
261	181	511
262	182	510
263	182	509
264	183	509
265	184	508
266	184	507
267	185	506
268	186	505
269	186	505
270	187	504
271	188	503
272	188	503
273	189	502
274	190	501
275	190	500
276	191	500
277	192	499
278	192	498
279	193	497
280	194	496
281	194	496
282	195	495
283	196	494
